date,temp_avg,temp_min,temp_max,precipitation,wdir,wind_speed,pressure,fire_occurred
2014-01-01,13.1,7.8,18.3,0.3,292.0,2.3,1019.0,0
2014-01-02,15.7,9.4,25.0,0.0,292.0,1.9,1017.4,0
2014-01-03,12.8,8.3,18.3,0.0,292.0,2.7,1015.3,0
2014-01-04,14.1,10.0,20.6,0.0,292.0,2.5,1015.2,0
2014-01-05,15.3,8.3,25.0,0.3,292.0,1.3,1019.0,0
2014-01-06,16.7,11.1,24.4,0.0,292.0,1.6,1020.8,0
2014-01-07,14.7,10.0,20.0,0.0,292.0,1.2,1018.9,0
2014-01-08,13.4,10.6,17.8,0.0,292.0,2.8,1018.2,0
2014-01-09,13.4,10.6,16.0,0.0,292.0,3.6,1017.6,0
2014-01-10,13.7,8.9,18.9,0.3,292.0,2.6,1018.4,0
2014-01-11,14.1,8.9,20.0,0.0,292.0,3.7,1019.3,0
2014-01-12,14.9,10.6,20.6,0.3,292.0,2.8,1018.8,0
2014-01-13,17.3,8.9,27.2,0.0,292.0,0.7,1024.0,0
2014-01-14,17.5,10.0,26.1,0.0,292.0,3.5,1024.2,0
2014-01-15,18.3,10.0,28.3,0.0,292.0,1.7,1021.5,0
2014-01-16,17.7,10.6,28.9,0.0,292.0,1.8,1018.7,1
2014-01-17,18.7,11.1,29.4,0.0,292.0,3.1,1018.2,0
2014-01-18,17.1,10.0,27.8,0.0,292.0,1.9,1017.4,0
2014-01-19,15.2,8.9,24.4,0.0,292.0,1.9,1018.3,0
2014-01-20,14.8,8.3,25.0,0.0,292.0,2.7,1019.9,0
2014-01-21,16.6,10.6,23.9,0.0,292.0,2.0,1019.5,0
2014-01-22,16.2,13.3,22.2,0.0,292.0,4.0,1014.8,0
2014-01-23,14.9,10.6,20.6,0.0,292.0,3.9,1014.7,0
2014-01-24,16.6,13.3,21.7,0.0,292.0,2.3,1021.5,0
2014-01-25,17.4,14.4,23.3,0.0,292.0,3.6,1021.3,0
2014-01-26,14.9,11.7,18.9,0.0,292.0,4.0,1019.0,0
2014-01-27,15.2,11.7,18.9,0.0,292.0,5.4,1017.9,0
2014-01-28,14.0,10.0,18.3,0.0,292.0,3.3,1018.7,0
2014-01-29,13.9,11.7,17.8,0.3,292.0,3.5,1016.7,0
2014-01-30,15.0,13.9,16.1,0.3,292.0,7.8,1013.4,0
2014-01-31,14.8,13.3,16.7,0.0,292.0,10.8,1013.6,0
2014-02-01,14.3,11.1,19.4,0.0,335.0,7.2,1016.2,0
2014-02-02,11.7,8.3,16.1,2.6,335.0,7.6,1017.1,0
2014-02-03,12.4,8.9,15.6,0.3,335.0,8.9,1013.8,0
2014-02-04,12.5,8.9,16.1,0.0,16.0,4.4,1017.0,0
2014-02-05,13.3,10.0,16.1,0.0,16.0,5.1,1018.4,0
2014-02-06,12.9,11.7,15.0,3.6,16.0,6.1,1016.9,0
2014-02-07,13.3,10.0,16.1,0.3,16.0,4.8,1020.5,0
2014-02-08,14.4,12.2,17.2,0.0,16.0,6.3,1023.7,0
2014-02-09,15.3,13.9,18.3,0.0,16.0,5.0,1021.7,0
2014-02-10,15.6,12.8,19.4,0.0,16.0,5.7,1018.8,0
2014-02-11,14.5,11.7,19.4,0.0,16.0,3.2,1018.0,0
2014-02-12,16.9,11.1,25.0,0.3,16.0,3.5,1018.8,0
2014-02-13,16.5,11.7,23.3,0.0,16.0,3.8,1016.9,0
2014-02-14,16.4,10.6,23.3,0.0,16.0,3.2,1016.2,0
2014-02-15,16.3,11.1,23.9,0.0,16.0,3.1,1015.4,0
2014-02-16,16.1,13.0,21.7,0.0,16.0,3.8,1016.4,0
2014-02-17,14.2,11.1,17.8,0.3,16.0,5.3,1017.3,0
2014-02-18,14.8,12.8,17.8,0.0,16.0,6.9,1016.9,0
2014-02-19,14.6,12.2,17.2,0.0,16.0,7.0,1014.7,0
2014-02-20,17.6,11.1,26.7,0.0,16.0,3.9,1015.1,0
2014-02-21,17.8,14.4,24.4,0.0,16.0,4.2,1013.8,0
2014-02-22,15.4,11.1,22.2,0.0,16.0,3.9,1012.7,0
2014-02-23,14.4,9.4,20.6,0.0,16.0,4.4,1014.5,0
2014-02-24,15.4,12.2,19.4,0.0,16.0,4.9,1015.3,0
2014-02-25,15.9,13.0,19.4,0.0,16.0,5.9,1016.4,0
2014-02-26,16.2,14.4,18.3,0.0,16.0,6.4,1017.4,0
2014-02-27,16.8,13.3,20.6,16.7,16.0,7.9,1014.0,0
2014-02-28,15.3,13.9,17.2,36.7,161.0,14.9,1006.2,0
2014-03-01,13.7,12.2,16.7,8.9,132.0,9.3,1010.2,0
2014-03-02,14.1,12.2,17.8,0.6,132.0,5.0,1019.2,0
